Clase de aviso;Ubicac.técnica;Denominación;Equipo;Denominación;Creado el;Fecha ref.;Aviso;Orden;Autor del aviso;Descripción;Fecha de aviso;Status sistema;Fecha de cierre;Costo ML;Moneda
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6715-01;TANQUE 15 DE JARABE TERMINADO (6715);12.01.2026;12.01.2026;11832670;9269925;76002264;MA| Cambiar sello en bomba tq15 JT;12.01.2026;MECE ORAS;12.01.2026;56.10;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;11.01.2026;13.01.2026;11832602;9269841;12000PAE;FABRICAR SUJETADOR TAPADERA DRENO FILTRO;11.01.2026;MECE ORAS;13.01.2026;1.15;USD
ZI;SS01-M1-NI1-AJC1-CIP1;CUARTO DE CIP;1ECIP-CIP1-01;SISTEMA CIP 1;10.01.2026;10.01.2026;11832154;9268800;76001947;FUGA EN TUBERIA DE CARBON ATRAS DE CIP1;10.01.2026;MECE ORAS;13.04.2026;11.20;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;10.01.2026;10.01.2026;11832196;9268813;11136PAE;MA| CAMBIO DE SELLO BPRECAPA F2 JS;10.01.2026;MECE ORAS;10.01.2026;0.20;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-STC-01;SISTEMA TRATAMIENTO DE CARBON;10.01.2026;10.01.2026;11832342;9350437;76001947;ZM I TUBERIA DANADA;10.01.2026;MECE PTBO;12.01.2026;56.10;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-TRB-01;TRIBLENDER;10.01.2026;20.01.2026;11832349;9269307;11136PAE;REALIZAR CAMBIO DE COOPLING B LOBULAR TB;10.01.2026;MECE ORAS;20.01.2026;3.34;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6705-01;TANQUE 5 DE JARABE TERMINADO (6705);09.01.2026;09.01.2026;11831858;9349141;76012468;Fuga en toma muestra del tanque 5;09.01.2026;MECE ORAS;23.05.2026;0.40;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6710-01;TANQUE 10 DE JARABE TERMINADO (6710);08.01.2026;09.01.2026;11831662;9267912;12000PAE;CAMBIO DE SENSOR  DE TANQUE 10;08.01.2026;MECE ORAS;09.01.2026;1.00;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6710-01;TANQUE 10 DE JARABE TERMINADO (6710);08.01.2026;10.01.2026;11831563;9267714;76012041;AFJ| COORDINAR CAMBIO DE CONEC DE SENSOR;08.01.2026;MECE ORAS;10.01.2026;2.85;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SIF-01;SISTEMA DE FILTRACION;07.01.2026;10.01.2026;11830889;9269299;76001947;ZM | FILTRO 1 ESTA DEJANDO PASAR CARBON;07.01.2026;MECE ORAS;10.01.2026;0.64;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6702-01;TANQUE 2 DE JARABE TERMINADO (6702);07.01.2026;20.01.2026;11830882;9275972;76002032;SEG|CAMBIAR ROSCA VALV DN65 TQ2 JARTER;07.01.2026;MECE ORAS;20.01.2026;0.40;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6712-01;TANQUE 12 DE JARABE TERMINADO (6712);06.01.2026;08.01.2026;11830622;9267478;76012470;MA| FUGA EN SELLO MECANICO DE BOMBA TQ12;06.01.2026;MECE ORAS;08.01.2026;5.71;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6713-01;TANQUE 13 DE JARABE TERMINADO (6713);06.01.2026;07.01.2026;11830623;9266901;76012470;MA| FUGA EN SELLO MECANICO DE BOMBA TQ13;06.01.2026;MECE ORAS;07.01.2026;2.50;USD
ZM;SS01-M1-NI1-AJC1-JTR1;SALA DE JARABE TERMINADO;1EJTR-T6713-01;TANQUE 13 DE JARABE TERMINADO (6713);05.01.2026;07.01.2026;11830139;9266901;76012470;MA| FUGA EN SELLO MECANICO DE BOMBA TQ13;05.01.2026;MECE ORAS;07.01.2026;0.00;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SID-01;SISTEMA DE DILUCION;04.01.2026;19.01.2026;11829963;9267439;11136PAE;Cambio de empaque DN40 Entrada B3100 JS;04.01.2026;MECE ORAS;19.01.2026;28.05;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-STC-01;SISTEMA TRATAMIENTO DE CARBON;04.01.2026;12.01.2026;11829894;9267816;76001947;MA| FUGA EN TUBERIA DE CARBON JARSIM;04.01.2026;MECE ORAS;12.01.2026;136.25;USD
ZP;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SID-01;SISTEMA DE DILUCION;04.01.2026;09.01.2026;7500006446;9267495;11136PAE;BAJO AISLAMIENTO BOMBA B3100 HOLDING JS;04.01.2026;MECE ORAS;09.01.2026;95.00;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1ESTC-HO1-MB3100;MOTOBOMBA 3100 (RECIRCULA CARBON EN H1);03.01.2026;07.01.2026;11829541;9264027;11136PAE;MA|CAMB SELLO MECANICO BOMBA HOLDIN1;03.01.2026;MECE ORAS;07.01.2026;48.86;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1012076;INTERCAMBIADOR DE JARABE;02.01.2026;03.01.2026;11829291;9262675;11136PAE;MA|CAMB EMPQUES INTERCAMBIADOR JARSIM;02.01.2026;MECE ORAS;03.01.2026;7.95;USD
ZM;SS01-M1-NI1-AJC1-JSP1;SALA DE JARABE SIMPLE;1EJSP-SID-01;SISTEMA DE DILUCION;02.01.2026;03.01.2026;11829266;9262902;12324PAE;MA| FUGA EMPAQUE EN INTERCAMBIADOR;02.01.2026;MECE ORAS;03.01.2026;-7.95;USD
